PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
103,0,2,"Passenger, Person 103",male,47.8,0,0,TICKET_1103,10.74,C
104,0,3,"Passenger, Person 104",male,20.5,0,2,TICKET_1104,19.14,S
105,0,3,"Passenger, Person 105",male,27.8,2,0,TICKET_1105,8.94,S
106,1,2,"Passenger, Person 106",female,23.6,0,0,TICKET_1106,19.25,S
107,0,2,"Passenger, Person 107",male,32.4,1,0,TICKET_1107,43.64,C
108,1,3,"Passenger, Person 108",female,14.5,0,0,TICKET_1108,10.4,S
109,0,1,"Passenger, Person 109",male,30.3,0,0,TICKET_1109,30.39,S
110,0,1,"Passenger, Person 110",male,73.8,0,0,TICKET_1110,208.3,S
111,0,2,"Passenger, Person 111",male,28.4,1,0,TICKET_1111,25.88,S
112,0,1,"Passenger, Person 112",female,,1,1,TICKET_1112,149.78,S
113,1,3,"Passenger, Person 113",female,39.0,0,0,TICKET_1113,13.48,S
114,1,3,"Passenger, Person 114",female,26.6,0,0,TICKET_1114,8.67,S
115,0,3,"Passenger, Person 115",female,,0,0,TICKET_1115,22.71,S
116,1,3,"Passenger, Person 116",female,31.6,0,0,TICKET_1116,9.38,C
117,1,3,"Passenger, Person 117",female,14.7,2,1,TICKET_1117,9.05,S
118,1,1,"Passenger, Person 118",male,46.3,0,0,TICKET_1118,84.03,S
119,0,3,"Passenger, Person 119",male,0.5,0,0,TICKET_1119,12.53,S
120,0,3,"Passenger, Person 120",male,35.5,0,0,TICKET_1120,8.94,C
121,0,3,"Passenger, Person 121",female,6.3,0,2,TICKET_1121,9.54,C
122,1,3,"Passenger, Person 122",female,,0,0,TICKET_1122,8.49,C
123,0,2,"Passenger, Person 123",male,10.2,0,0,TICKET_1123,18.94,S
124,1,1,"Passenger, Person 124",female,31.7,1,0,TICKET_1124,53.94,C
125,1,1,"Passenger, Person 125",female,47.7,1,0,TICKET_1125,66.93,S
126,0,2,"Passenger, Person 126",male,31.7,0,0,TICKET_1126,19.52,S
127,0,3,"Passenger, Person 127",male,42.0,1,1,TICKET_1127,17.65,S
128,0,3,"Passenger, Person 128",female,0.5,0,0,TICKET_1128,8.19,S
129,1,1,"Passenger, Person 129",male,,0,2,TICKET_1129,36.64,Q
130,1,3,"Passenger, Person 130",female,,0,0,TICKET_1130,20.76,C
131,0,2,"Passenger, Person 131",male,25.5,0,0,TICKET_1131,22.59,S
132,1,1,"Passenger, Person 132",female,11.9,0,0,TICKET_1132,88.74,S
133,1,1,"Passenger, Person 133",female,36.8,0,1,TICKET_1133,109.84,S
134,0,2,"Passenger, Person 134",female,12.1,0,0,TICKET_1134,10.91,S
135,0,3,"Passenger, Person 135",male,,3,1,TICKET_1135,18.03,S
136,0,2,"Passenger, Person 136",female,39.5,0,1,TICKET_1136,44.59,C
137,0,3,"Passenger, Person 137",female,29.1,0,2,TICKET_1137,19.22,Q
138,0,3,"Passenger, Person 138",male,13.7,0,0,TICKET_1138,17.97,S
139,1,2,"Passenger, Person 139",female,49.0,0,0,TICKET_1139,10.35,C
140,0,3,"Passenger, Person 140",male,12.7,0,1,TICKET_1140,16.28,S
141,0,3,"Passenger, Person 141",male,,1,0,TICKET_1141,7.15,S
142,0,2,"Passenger, Person 142",male,42.2,0,0,TICKET_1142,29.27,S
143,1,3,"Passenger, Person 143",male,31.4,0,0,TICKET_1143,15.12,S
144,0,2,"Passenger, Person 144",male,36.2,0,0,TICKET_1144,10.83,C
145,1,2,"Passenger, Person 145",female,33.4,0,0,TICKET_1145,55.49,S
146,0,1,"Passenger, Person 146",male,,0,0,TICKET_1146,162.21,S
147,0,3,"Passenger, Person 147",female,,0,0,TICKET_1147,16.22,S
148,1,3,"Passenger, Person 148",male,30.4,0,0,TICKET_1148,9.47,Q
149,0,1,"Passenger, Person 149",male,40.0,0,0,TICKET_1149,66.08,S
150,0,2,"Passenger, Person 150",male,,0,0,TICKET_1150,12.39,C
151,0,3,"Passenger, Person 151",female,,3,0,TICKET_1151,9.93,C
152,0,1,"Passenger, Person 152",male,,0,0,TICKET_1152,45.89,S
153,1,1,"Passenger, Person 153",male,31.5,1,0,TICKET_1153,27.17,S
154,0,3,"Passenger, Person 154",female,,1,0,TICKET_1154,10.39,C
155,0,3,"Passenger, Person 155",male,38.5,0,0,TICKET_1155,7.9,S
156,0,2,"Passenger, Person 156",male,43.6,0,0,TICKET_1156,40.58,Q
157,0,3,"Passenger, Person 157",male,27.4,0,0,TICKET_1157,18.7,S
158,0,3,"Passenger, Person 158",female,,1,1,TICKET_1158,9.0,S
159,0,1,"Passenger, Person 159",male,37.6,0,0,TICKET_1159,178.59,C
160,1,3,"Passenger, Person 160",female,,1,0,TICKET_1160,9.22,C
161,0,2,"Passenger, Person 161",male,26.7,2,0,TICKET_1161,19.74,Q
162,0,3,"Passenger, Person 162",female,30.7,1,0,TICKET_1162,8.76,S
163,1,3,"Passenger, Person 163",female,25.0,0,0,TICKET_1163,13.86,Q
164,0,3,"Passenger, Person 164",female,17.9,0,0,TICKET_1164,27.75,C
165,0,1,"Passenger, Person 165",male,24.0,1,0,TICKET_1165,105.28,C
166,1,3,"Passenger, Person 166",female,35.0,0,0,TICKET_1166,35.28,S
167,0,2,"Passenger, Person 167",male,8.1,0,0,TICKET_1167,30.04,S
168,0,1,"Passenger, Person 168",male,55.2,1,2,TICKET_1168,100.77,Q
169,0,1,"Passenger, Person 169",male,36.6,0,0,TICKET_1169,41.13,S
170,1,3,"Passenger, Person 170",female,31.9,2,0,TICKET_1170,15.04,S
171,0,3,"Passenger, Person 171",female,41.8,0,0,TICKET_1171,18.45,S
172,1,1,"Passenger, Person 172",female,26.4,0,0,TICKET_1172,124.6,S
173,0,3,"Passenger, Person 173",male,8.6,2,1,TICKET_1173,8.59,S
174,0,1,"Passenger, Person 174",male,43.1,0,0,TICKET_1174,127.12,S
175,0,3,"Passenger, Person 175",female,31.0,0,0,TICKET_1175,10.31,C
176,0,1,"Passenger, Person 176",male,26.8,0,1,TICKET_1176,94.13,S
177,0,3,"Passenger, Person 177",male,,0,0,TICKET_1177,11.38,S
178,0,2,"Passenger, Person 178",male,17.1,0,0,TICKET_1178,16.93,S
179,0,3,"Passenger, Person 179",male,12.7,0,2,TICKET_1179,12.0,S
180,1,1,"Passenger, Person 180",male,27.5,0,0,TICKET_1180,33.07,S
181,0,2,"Passenger, Person 181",male,19.7,0,0,TICKET_1181,33.23,S
182,0,1,"Passenger, Person 182",male,50.4,1,0,TICKET_1182,40.28,S
183,0,3,"Passenger, Person 183",male,,1,0,TICKET_1183,14.64,C
184,0,3,"Passenger, Person 184",female,44.1,0,0,TICKET_1184,10.64,S
185,0,2,"Passenger, Person 185",male,,0,1,TICKET_1185,15.73,S
186,0,3,"Passenger, Person 186",male,,0,0,TICKET_1186,16.52,S
187,1,3,"Passenger, Person 187",female,18.8,0,0,TICKET_1187,29.23,S
188,1,3,"Passenger, Person 188",male,20.9,1,1,TICKET_1188,13.25,C
189,1,3,"Passenger, Person 189",female,30.1,1,0,TICKET_1189,18.7,C
190,1,2,"Passenger, Person 190",female,35.3,0,0,TICKET_1190,12.72,S
191,0,1,"Passenger, Person 191",male,,0,0,TICKET_1191,54.39,S
192,0,3,"Passenger, Person 192",male,23.0,0,1,TICKET_1192,12.58,S
193,1,3,"Passenger, Person 193",female,25.9,0,1,TICKET_1193,7.16,S
194,1,3,"Passenger, Person 194",female,0.5,0,0,TICKET_1194,9.33,Q
195,0,2,"Passenger, Person 195",male,29.5,3,0,TICKET_1195,18.18,S
196,0,2,"Passenger, Person 196",male,37.9,1,0,TICKET_1196,53.87,C
197,1,3,"Passenger, Person 197",male,11.2,0,1,TICKET_1197,9.46,S
198,0,3,"Passenger, Person 198",female,,0,0,TICKET_1198,12.77,S
199,0,3,"Passenger, Person 199",male,3.5,2,0,TICKET_1199,13.81,S
200,1,3,"Passenger, Person 200",female,8.7,0,1,TICKET_1200,27.8,S
201,0,3,"Passenger, Person 201",male,,0,0,TICKET_1201,15.29,C
202,1,1,"Passenger, Person 202",male,,0,0,TICKET_1202,66.66,S
203,1,1,"Passenger, Person 203",male,44.0,1,0,TICKET_1203,87.51,C
204,0,3,"Passenger, Person 204",male,27.1,0,0,TICKET_1204,19.29,S
205,0,3,"Passenger, Person 205",male,,0,0,TICKET_1205,8.79,Q
206,0,1,"Passenger, Person 206",male,32.9,1,2,TICKET_1206,69.78,S
207,0,1,"Passenger, Person 207",male,26.4,1,0,TICKET_1207,144.86,C
208,1,3,"Passenger, Person 208",female,10.7,2,0,TICKET_1208,13.57,C
209,1,1,"Passenger, Person 209",male,23.0,0,0,TICKET_1209,59.35,Q
210,0,1,"Passenger, Person 210",male,0.5,0,0,TICKET_1210,42.0,S
211,1,3,"Passenger, Person 211",female,4.8,1,0,TICKET_1211,14.85,C
212,1,3,"Passenger, Person 212",female,12.7,1,0,TICKET_1212,41.37,S
213,0,3,"Passenger, Person 213",female,21.6,0,1,TICKET_1213,13.1,S
214,1,1,"Passenger, Person 214",female,23.9,0,0,TICKET_1214,73.31,S
215,0,3,"Passenger, Person 215",male,,1,0,TICKET_1215,21.09,S
216,0,1,"Passenger, Person 216",male,66.8,1,0,TICKET_1216,53.35,Q
217,1,2,"Passenger, Person 217",female,4.0,0,2,TICKET_1217,27.19,S
218,1,3,"Passenger, Person 218",female,39.3,0,0,TICKET_1218,32.19,S
219,0,3,"Passenger, Person 219",male,27.6,0,1,TICKET_1219,16.55,S
220,1,3,"Passenger, Person 220",female,37.3,0,0,TICKET_1220,14.25,S
221,0,3,"Passenger, Person 221",male,38.3,0,2,TICKET_1221,11.94,S
222,0,3,"Passenger, Person 222",male,18.2,0,0,TICKET_1222,10.63,S
223,0,1,"Passenger, Person 223",male,31.2,0,0,TICKET_1223,150.57,S
224,0,2,"Passenger, Person 224",male,25.4,0,0,TICKET_1224,80.46,S
225,0,2,"Passenger, Person 225",male,25.4,0,0,TICKET_1225,19.01,Q
226,0,2,"Passenger, Person 226",male,39.3,1,0,TICKET_1226,14.64,C
227,0,3,"Passenger, Person 227",female,6.1,0,1,TICKET_1227,8.77,Q
228,0,2,"Passenger, Person 228",male,,0,0,TICKET_1228,29.83,S
229,0,3,"Passenger, Person 229",male,24.1,1,2,TICKET_1229,19.55,S
230,1,3,"Passenger, Person 230",female,24.1,0,1,TICKET_1230,12.17,S
231,1,3,"Passenger, Person 231",female,48.7,3,0,TICKET_1231,13.15,S
232,0,3,"Passenger, Person 232",female,8.4,1,1,TICKET_1232,18.8,S
233,1,3,"Passenger, Person 233",female,31.1,0,0,TICKET_1233,15.66,S
234,1,3,"Passenger, Person 234",female,42.9,3,0,TICKET_1234,11.21,S
235,0,1,"Passenger, Person 235",male,42.2,0,0,TICKET_1235,34.7,S
236,1,3,"Passenger, Person 236",male,20.1,0,0,TICKET_1236,8.42,C
237,0,2,"Passenger, Person 237",male,11.8,0,0,TICKET_1237,45.86,S
238,1,1,"Passenger, Person 238",male,54.1,0,0,TICKET_1238,234.66,S
239,1,3,"Passenger, Person 239",male,27.3,2,0,TICKET_1239,7.12,S
240,1,1,"Passenger, Person 240",female,17.9,0,0,TICKET_1240,130.06,S
241,0,3,"Passenger, Person 241",male,30.2,0,0,TICKET_1241,9.25,S
242,0,3,"Passenger, Person 242",male,,0,0,TICKET_1242,17.47,S
243,0,3,"Passenger, Person 243",male,33.2,0,1,TICKET_1243,20.33,S
244,1,2,"Passenger, Person 244",female,30.1,0,0,TICKET_1244,25.49,C
245,1,1,"Passenger, Person 245",male,31.7,0,0,TICKET_1245,77.17,C
246,1,3,"Passenger, Person 246",female,49.6,1,0,TICKET_1246,9.79,S
247,1,2,"Passenger, Person 247",male,17.9,0,0,TICKET_1247,10.1,S
248,0,3,"Passenger, Person 248",male,20.2,1,1,TICKET_1248,7.98,S
249,0,3,"Passenger, Person 249",male,,0,0,TICKET_1249,11.18,C
250,1,3,"Passenger, Person 250",female,15.0,1,0,TICKET_1250,22.07,S
251,0,2,"Passenger, Person 251",male,24.9,1,0,TICKET_1251,28.64,S
252,0,2,"Passenger, Person 252",female,41.0,0,0,TICKET_1252,44.33,S
253,0,3,"Passenger, Person 253",male,35.1,0,2,TICKET_1253,12.61,S
254,0,2,"Passenger, Person 254",male,34.5,1,1,TICKET_1254,44.53,C
255,1,1,"Passenger, Person 255",female,,0,0,TICKET_1255,79.96,S
256,1,3,"Passenger, Person 256",female,18.6,2,0,TICKET_1256,7.46,S
257,1,3,"Passenger, Person 257",female,17.7,0,0,TICKET_1257,13.83,S
258,1,3,"Passenger, Person 258",female,24.1,0,0,TICKET_1258,22.9,S
259,0,3,"Passenger, Person 259",female,30.1,0,1,TICKET_1259,12.25,C
260,1,1,"Passenger, Person 260",female,57.8,2,1,TICKET_1260,141.44,C
261,1,3,"Passenger, Person 261",female,3.7,0,0,TICKET_1261,13.58,S
262,0,3,"Passenger, Person 262",female,37.8,1,2,TICKET_1262,10.23,S
263,1,1,"Passenger, Person 263",female,23.1,1,0,TICKET_1263,82.2,S
264,0,3,"Passenger, Person 264",male,41.6,0,0,TICKET_1264,22.13,S
265,0,3,"Passenger, Person 265",female,30.3,0,0,TICKET_1265,12.9,S
266,0,3,"Passenger, Person 266",male,38.2,1,0,TICKET_1266,28.66,S
267,1,3,"Passenger, Person 267",female,30.6,0,0,TICKET_1267,20.12,S
268,1,3,"Passenger, Person 268",female,41.2,1,0,TICKET_1268,16.45,S
269,0,2,"Passenger, Person 269",male,12.6,0,0,TICKET_1269,20.11,S
270,1,2,"Passenger, Person 270",female,26.2,0,0,TICKET_1270,24.55,C
271,0,3,"Passenger, Person 271",male,52.3,1,1,TICKET_1271,8.76,S
272,0,3,"Passenger, Person 272",male,,0,0,TICKET_1272,26.33,S
273,1,3,"Passenger, Person 273",female,,0,0,TICKET_1273,8.53,S
274,1,3,"Passenger, Person 274",male,9.7,0,1,TICKET_1274,9.7,S
275,1,3,"Passenger, Person 275",female,9.5,0,2,TICKET_1275,12.82,S
276,0,3,"Passenger, Person 276",female,28.5,0,2,TICKET_1276,9.45,S
277,0,3,"Passenger, Person 277",male,26.7,1,0,TICKET_1277,8.88,C
278,0,3,"Passenger, Person 278",male,17.6,0,0,TICKET_1278,14.31,S
279,0,3,"Passenger, Person 279",male,,0,0,TICKET_1279,7.75,S
280,0,3,"Passenger, Person 280",male,44.1,0,0,TICKET_1280,7.48,S
281,1,3,"Passenger, Person 281",female,33.3,0,2,TICKET_1281,10.72,S
282,0,2,"Passenger, Person 282",male,17.7,0,0,TICKET_1282,61.44,S
283,0,2,"Passenger, Person 283",male,36.0,2,0,TICKET_1283,40.67,S
284,0,1,"Passenger, Person 284",male,37.7,1,0,TICKET_1284,62.78,S
285,0,3,"Passenger, Person 285",male,20.3,0,0,TICKET_1285,13.67,S
286,1,1,"Passenger, Person 286",female,30.9,0,1,TICKET_1286,135.11,S
287,0,3,"Passenger, Person 287",male,19.3,0,0,TICKET_1287,29.01,S
288,1,3,"Passenger, Person 288",female,9.9,0,0,TICKET_1288,7.45,S
289,0,2,"Passenger, Person 289",male,30.1,0,0,TICKET_1289,16.32,S
290,0,3,"Passenger, Person 290",female,,0,0,TICKET_1290,24.75,C
291,1,1,"Passenger, Person 291",male,32.5,0,0,TICKET_1291,85.27,C
292,1,1,"Passenger, Person 292",male,,0,0,TICKET_1292,39.39,S
293,1,3,"Passenger, Person 293",female,38.1,0,0,TICKET_1293,9.81,Q
294,1,2,"Passenger, Person 294",male,16.1,2,0,TICKET_1294,58.37,S
295,0,1,"Passenger, Person 295",female,55.0,0,2,TICKET_1295,120.65,C
296,1,3,"Passenger, Person 296",female,10.9,0,1,TICKET_1296,20.36,S
297,0,3,"Passenger, Person 297",male,,0,2,TICKET_1297,17.15,C
298,1,1,"Passenger, Person 298",male,32.0,0,0,TICKET_1298,261.59,S
299,0,3,"Passenger, Person 299",female,26.9,1,0,TICKET_1299,7.85,S
300,0,1,"Passenger, Person 300",male,37.7,0,0,TICKET_1300,59.1,S
301,1,1,"Passenger, Person 301",male,,0,1,TICKET_1301,46.39,S
302,1,3,"Passenger, Person 302",male,9.0,0,2,TICKET_1302,21.22,S
303,0,3,"Passenger, Person 303",male,,1,1,TICKET_1303,7.34,C
304,0,3,"Passenger, Person 304",male,,0,0,TICKET_1304,7.19,S
305,1,3,"Passenger, Person 305",female,19.5,0,2,TICKET_1305,10.73,C
306,0,3,"Passenger, Person 306",female,22.4,0,0,TICKET_1306,8.29,S
307,1,3,"Passenger, Person 307",female,23.9,0,0,TICKET_1307,13.54,S
308,1,2,"Passenger, Person 308",female,,0,0,TICKET_1308,10.97,S
309,0,3,"Passenger, Person 309",male,25.6,0,0,TICKET_1309,10.97,S
310,1,2,"Passenger, Person 310",female,28.3,0,0,TICKET_1310,11.39,S
311,0,2,"Passenger, Person 311",male,44.9,1,0,TICKET_1311,11.97,C
312,1,1,"Passenger, Person 312",male,19.2,0,0,TICKET_1312,33.82,S
313,0,1,"Passenger, Person 313",male,39.8,0,0,TICKET_1313,201.3,S
314,0,3,"Passenger, Person 314",male,0.5,0,1,TICKET_1314,10.18,C
315,0,3,"Passenger, Person 315",female,38.8,3,0,TICKET_1315,26.1,S
316,1,3,"Passenger, Person 316",female,41.6,0,0,TICKET_1316,7.82,Q
317,0,2,"Passenger, Person 317",male,28.2,1,1,TICKET_1317,21.94,Q
318,1,1,"Passenger, Person 318",male,40.5,0,1,TICKET_1318,254.92,S
319,0,1,"Passenger, Person 319",female,42.9,0,0,TICKET_1319,55.41,S
320,0,2,"Passenger, Person 320",male,28.4,0,0,TICKET_1320,18.66,S
321,1,3,"Passenger, Person 321",male,,0,0,TICKET_1321,8.91,C
322,1,3,"Passenger, Person 322",male,18.8,2,0,TICKET_1322,7.24,S
323,0,3,"Passenger, Person 323",female,43.4,2,0,TICKET_1323,11.55,S
324,1,2,"Passenger, Person 324",female,21.1,0,1,TICKET_1324,19.98,C
325,0,3,"Passenger, Person 325",male,13.9,0,0,TICKET_1325,23.32,S
326,1,3,"Passenger, Person 326",male,5.8,2,1,TICKET_1326,14.43,C
327,1,3,"Passenger, Person 327",female,21.1,0,1,TICKET_1327,14.62,S
328,0,3,"Passenger, Person 328",female,22.4,0,1,TICKET_1328,13.07,S
329,0,2,"Passenger, Person 329",male,37.1,0,0,TICKET_1329,20.9,C
330,1,2,"Passenger, Person 330",female,20.7,0,1,TICKET_1330,32.89,S
331,0,2,"Passenger, Person 331",male,,0,0,TICKET_1331,12.05,S
332,0,3,"Passenger, Person 332",male,48.2,0,0,TICKET_1332,21.43,S
333,1,1,"Passenger, Person 333",female,,0,0,TICKET_1333,190.05,S
334,0,1,"Passenger, Person 334",male,36.7,0,0,TICKET_1334,50.16,S
335,0,1,"Passenger, Person 335",male,42.6,0,0,TICKET_1335,43.89,Q
336,1,1,"Passenger, Person 336",male,40.7,0,0,TICKET_1336,74.66,S
337,0,3,"Passenger, Person 337",male,39.2,1,0,TICKET_1337,7.03,S
338,1,3,"Passenger, Person 338",female,17.5,0,0,TICKET_1338,9.89,S
339,0,3,"Passenger, Person 339",male,25.5,0,0,TICKET_1339,7.92,S
340,1,1,"Passenger, Person 340",female,34.4,2,0,TICKET_1340,128.03,Q
341,0,3,"Passenger, Person 341",male,19.0,2,1,TICKET_1341,16.04,C
342,1,3,"Passenger, Person 342",male,8.5,0,0,TICKET_1342,23.6,S
