customer_id,tenure_months,contract_type,internet_service,payment_method,monthly_charges,total_charges,support_tickets,paperless_billing,senior_citizen,churn
CUST_10112,23,Two year,Fiber optic,Electronic check,78.85,1843.27,0,Yes,0,0
CUST_10113,15,One year,DSL,Mailed check,64.71,963.98,2,Yes,0,0
CUST_10114,43,Month-to-month,Fiber optic,Bank transfer,102.35,4419.13,0,No,0,1
CUST_10115,29,Month-to-month,Fiber optic,Electronic check,85.2,2472.98,0,No,0,1
CUST_10116,36,One year,Fiber optic,Electronic check,94.48,3406.9,0,Yes,0,1
CUST_10117,13,Month-to-month,DSL,Credit card,61.27,810.03,0,Yes,0,1
CUST_10118,32,One year,DSL,Electronic check,48.31,1558.61,4,Yes,0,1
CUST_10119,71,Month-to-month,Fiber optic,Bank transfer,70.65,5011.02,2,Yes,0,0
CUST_10120,59,One year,DSL,Bank transfer,46.23,2735.54,4,Yes,0,0
CUST_10121,28,Month-to-month,No,Mailed check,18.94,537.17,1,No,0,0
CUST_10122,66,Two year,DSL,Bank transfer,58.13,3839.78,2,No,0,0
CUST_10123,42,Two year,DSL,Electronic check,72.82,3055.39,1,Yes,0,0
CUST_10124,45,Two year,DSL,Bank transfer,38.69,1744.22,0,No,0,0
CUST_10125,62,One year,Fiber optic,Mailed check,89.95,5606.41,1,Yes,0,0
CUST_10126,57,Month-to-month,Fiber optic,Bank transfer,91.69,5221.9,2,No,1,1
CUST_10127,6,One year,DSL,Electronic check,60.22,379.42,2,Yes,0,0
CUST_10128,28,Month-to-month,DSL,Bank transfer,53.28,1482.55,2,No,0,1
CUST_10129,28,Month-to-month,Fiber optic,Electronic check,78.41,2182.26,1,Yes,0,1
CUST_10130,44,Month-to-month,DSL,Electronic check,45.19,2037.51,1,Yes,0,0
CUST_10131,30,Month-to-month,Fiber optic,Electronic check,78.21,2354.4,2,Yes,0,1
CUST_10132,62,One year,Fiber optic,Electronic check,99.37,6169.45,0,Yes,0,1
CUST_10133,62,One year,DSL,Credit card,67.93,4220.59,0,Yes,1,0
CUST_10134,1,Month-to-month,DSL,Electronic check,51.89,73.0,1,Yes,0,1
CUST_10135,27,Month-to-month,No,Credit card,28.95,787.77,2,Yes,0,0
CUST_10136,62,Two year,Fiber optic,Credit card,88.35,5489.94,3,No,0,0
CUST_10137,3,Month-to-month,Fiber optic,Bank transfer,95.34,270.14,2,Yes,1,1
CUST_10138,70,Month-to-month,DSL,Electronic check,55.57,3904.66,1,No,0,1
CUST_10139,27,Month-to-month,Fiber optic,Mailed check,71.7,1932.35,2,Yes,0,0
CUST_10140,9,One year,DSL,Bank transfer,49.45,455.13,1,No,0,1
CUST_10141,62,One year,Fiber optic,Mailed check,100.84,6226.35,3,No,0,0
CUST_10142,37,Month-to-month,No,Electronic check,22.72,850.09,1,Yes,0,1
CUST_10143,51,Month-to-month,DSL,Bank transfer,56.3,2837.67,0,No,1,0
CUST_10144,44,One year,DSL,Credit card,55.43,2434.78,1,Yes,0,0
CUST_10145,24,One year,DSL,Bank transfer,59.94,1412.98,0,No,0,0
CUST_10146,59,Month-to-month,DSL,Electronic check,61.67,3648.03,3,Yes,0,1
CUST_10147,32,Two year,DSL,Bank transfer,54.37,1740.88,1,Yes,0,0
CUST_10148,52,Month-to-month,DSL,Electronic check,50.26,2601.96,2,Yes,0,0
CUST_10149,62,Month-to-month,Fiber optic,Electronic check,72.7,4528.92,1,Yes,0,0
CUST_10150,58,Two year,Fiber optic,Credit card,99.2,5740.15,4,Yes,0,1
CUST_10151,52,Month-to-month,DSL,Electronic check,52.9,2705.33,0,No,0,0
CUST_10152,12,One year,No,Electronic check,20.74,256.58,0,Yes,0,0
CUST_10153,39,Month-to-month,DSL,Electronic check,38.24,1464.86,2,Yes,0,0
CUST_10154,2,Month-to-month,No,Credit card,28.29,43.6,1,Yes,0,1
CUST_10155,3,Two year,DSL,Bank transfer,65.47,,2,Yes,0,0
CUST_10156,56,Month-to-month,No,Bank transfer,26.86,1482.8,1,Yes,0,0
CUST_10157,59,Two year,Fiber optic,Bank transfer,83.26,4904.93,1,No,1,0
CUST_10158,2,Month-to-month,Fiber optic,Electronic check,81.06,141.04,0,Yes,0,1
CUST_10159,2,Month-to-month,No,Mailed check,22.98,48.4,2,Yes,0,0
CUST_10160,54,Month-to-month,DSL,Mailed check,60.08,3225.89,1,Yes,0,0
CUST_10161,1,One year,No,Electronic check,32.03,32.48,0,Yes,0,0
CUST_10162,19,Month-to-month,DSL,Mailed check,57.32,1106.51,2,No,0,1
CUST_10163,2,Two year,DSL,Credit card,64.01,139.76,2,Yes,0,0
CUST_10164,53,Month-to-month,DSL,Electronic check,50.31,2665.2,1,Yes,1,1
CUST_10165,44,Two year,Fiber optic,Electronic check,68.4,2994.77,1,Yes,0,0
CUST_10166,32,Month-to-month,DSL,Electronic check,52.43,1680.15,2,Yes,0,1
CUST_10167,70,Two year,Fiber optic,Electronic check,81.83,5717.66,1,Yes,0,0
CUST_10168,32,One year,Fiber optic,Credit card,72.26,,1,Yes,1,0
CUST_10169,68,One year,Fiber optic,Mailed check,84.45,5716.87,2,No,0,0
CUST_10170,55,Two year,Fiber optic,Mailed check,90.68,4999.51,0,Yes,0,0
CUST_10171,56,One year,Fiber optic,Bank transfer,82.44,4617.14,3,Yes,0,1
CUST_10172,17,One year,DSL,Electronic check,46.58,824.99,2,Yes,0,1
CUST_10173,38,Month-to-month,DSL,Mailed check,56.33,2160.13,1,Yes,0,0
CUST_10174,24,Month-to-month,DSL,Mailed check,70.08,1690.41,3,Yes,0,1
CUST_10175,69,Two year,DSL,Bank transfer,49.8,3434.34,5,No,0,0
CUST_10176,70,One year,DSL,Credit card,54.85,3828.56,1,No,0,0
CUST_10177,11,One year,DSL,Bank transfer,36.98,420.92,1,Yes,0,0
CUST_10178,16,Month-to-month,No,Mailed check,25.76,408.72,2,Yes,0,0
CUST_10179,59,Month-to-month,Fiber optic,Credit card,79.85,4728.68,2,Yes,0,1
CUST_10180,70,Month-to-month,DSL,Electronic check,59.29,4156.31,0,Yes,0,0
CUST_10181,3,One year,Fiber optic,Electronic check,92.15,282.57,0,No,0,1
CUST_10182,20,Month-to-month,DSL,Electronic check,52.78,1064.52,4,No,1,1
CUST_10183,59,Month-to-month,Fiber optic,Electronic check,77.17,,1,No,0,1
CUST_10184,36,Month-to-month,Fiber optic,Mailed check,89.57,,0,Yes,0,0
CUST_10185,19,Month-to-month,Fiber optic,Bank transfer,83.37,1568.18,0,Yes,0,0
CUST_10186,67,One year,Fiber optic,Credit card,92.42,6207.85,2,No,0,0
CUST_10187,19,Month-to-month,No,Mailed check,21.16,387.85,2,No,0,0
CUST_10188,20,One year,No,Mailed check,24.61,479.88,3,No,0,0
CUST_10189,71,Month-to-month,Fiber optic,Electronic check,64.96,4620.22,1,Yes,0,0
CUST_10190,52,Month-to-month,Fiber optic,Electronic check,93.93,4880.58,2,Yes,0,1
CUST_10191,33,Month-to-month,Fiber optic,Bank transfer,75.01,2469.63,2,Yes,1,1
CUST_10192,40,Month-to-month,DSL,Mailed check,35.98,1432.2,2,Yes,1,0
CUST_10193,39,Month-to-month,DSL,Credit card,42.5,1622.62,0,Yes,1,0
CUST_10194,1,Month-to-month,DSL,Electronic check,56.43,41.93,1,No,0,0
CUST_10195,11,One year,Fiber optic,Electronic check,83.78,939.3,2,Yes,1,1
CUST_10196,57,Month-to-month,Fiber optic,Mailed check,78.09,4443.04,0,Yes,0,0
CUST_10197,50,One year,DSL,Electronic check,55.03,2722.99,0,No,0,0
CUST_10198,23,Two year,No,Electronic check,28.33,636.47,3,Yes,0,0
CUST_10199,31,One year,No,Bank transfer,19.89,621.99,2,No,0,0
CUST_10200,42,Month-to-month,Fiber optic,Electronic check,103.16,4337.82,2,Yes,1,1
CUST_10201,7,Month-to-month,Fiber optic,Bank transfer,89.78,624.05,1,Yes,0,1
CUST_10202,16,Month-to-month,No,Electronic check,28.35,443.26,1,No,0,1
CUST_10203,60,Month-to-month,DSL,Electronic check,63.9,3812.97,0,No,0,0
CUST_10204,2,Two year,Fiber optic,Mailed check,98.81,203.14,3,Yes,1,0
CUST_10205,1,Month-to-month,DSL,Credit card,61.51,74.08,1,No,0,0
CUST_10206,48,Month-to-month,Fiber optic,Mailed check,99.32,4786.69,0,Yes,1,0
CUST_10207,12,One year,DSL,Bank transfer,55.85,653.54,3,Yes,0,1
CUST_10208,69,One year,No,Electronic check,21.23,1485.35,1,Yes,0,0
CUST_10209,37,One year,No,Bank transfer,20.47,756.54,2,Yes,0,0
CUST_10210,32,Month-to-month,DSL,Electronic check,37.67,1205.84,1,No,0,1
CUST_10211,9,Month-to-month,Fiber optic,Bank transfer,92.46,845.54,0,No,0,1
CUST_10212,19,Month-to-month,No,Bank transfer,20.65,384.24,2,No,0,0
CUST_10213,48,Month-to-month,Fiber optic,Credit card,98.12,4677.3,0,No,0,0
CUST_10214,3,Month-to-month,No,Mailed check,29.4,98.77,1,Yes,0,0
CUST_10215,20,Month-to-month,Fiber optic,Electronic check,78.17,1568.63,1,No,0,1
CUST_10216,24,Month-to-month,DSL,Electronic check,47.65,1138.2,1,No,0,0
CUST_10217,54,Month-to-month,DSL,Credit card,54.73,2964.76,1,No,0,0
CUST_10218,33,Month-to-month,DSL,Mailed check,67.05,2225.05,1,No,0,0
CUST_10219,24,One year,Fiber optic,Bank transfer,100.5,2389.32,0,No,0,0
CUST_10220,36,One year,DSL,Electronic check,61.27,2206.06,5,Yes,0,1
CUST_10221,38,Two year,Fiber optic,Electronic check,90.85,3418.14,0,No,0,0
CUST_10222,25,Month-to-month,Fiber optic,Electronic check,88.57,2212.39,0,No,0,1
CUST_10223,18,Month-to-month,Fiber optic,Credit card,104.45,1874.51,3,No,0,1
CUST_10224,66,Month-to-month,No,Bank transfer,29.31,1941.84,1,Yes,1,0
CUST_10225,54,One year,No,Credit card,19.6,1042.3,3,Yes,0,0
CUST_10226,35,One year,Fiber optic,Electronic check,83.6,2919.68,2,No,1,1
CUST_10227,61,Month-to-month,Fiber optic,Bank transfer,104.98,6355.54,2,Yes,0,1
CUST_10228,41,Two year,Fiber optic,Bank transfer,74.39,3058.35,1,No,0,1
CUST_10229,33,Month-to-month,Fiber optic,Electronic check,53.94,1778.69,2,Yes,0,0
CUST_10230,68,Month-to-month,No,Credit card,24.24,1649.63,0,Yes,1,0
CUST_10231,33,One year,DSL,Credit card,48.99,1594.27,1,Yes,0,0
CUST_10232,14,Two year,DSL,Credit card,55.58,784.09,0,Yes,0,0
CUST_10233,21,One year,No,Bank transfer,36.02,781.21,1,Yes,1,0
CUST_10234,48,Two year,Fiber optic,Electronic check,72.57,3480.59,0,Yes,0,1
CUST_10235,20,Month-to-month,Fiber optic,Electronic check,83.24,1674.55,1,Yes,0,1
CUST_10236,8,Two year,No,Credit card,27.01,203.02,1,Yes,0,0
CUST_10237,7,Month-to-month,DSL,Electronic check,65.61,458.12,3,Yes,0,1
CUST_10238,67,Two year,No,Bank transfer,18.0,1183.03,0,Yes,0,0
CUST_10239,17,Month-to-month,Fiber optic,Bank transfer,99.58,1704.68,0,Yes,0,0
CUST_10240,33,Two year,Fiber optic,Bank transfer,90.69,2995.17,2,No,0,0
CUST_10241,48,Month-to-month,Fiber optic,Credit card,76.35,3646.51,1,Yes,0,0
CUST_10242,59,One year,No,Electronic check,25.69,1503.68,4,Yes,0,0
CUST_10243,22,Month-to-month,DSL,Electronic check,45.05,992.02,0,No,0,0
CUST_10244,30,One year,Fiber optic,Electronic check,62.67,1893.96,1,Yes,0,1
CUST_10245,38,Month-to-month,Fiber optic,Mailed check,95.37,3646.25,2,No,0,1
CUST_10246,51,Month-to-month,Fiber optic,Electronic check,78.14,3983.13,4,No,0,0
CUST_10247,54,Month-to-month,Fiber optic,Electronic check,87.36,4696.97,3,Yes,0,1
CUST_10248,8,Month-to-month,DSL,Credit card,42.66,344.86,1,Yes,0,1
CUST_10249,27,Two year,DSL,Credit card,36.01,999.04,1,Yes,0,1
CUST_10250,27,Month-to-month,DSL,Electronic check,62.49,1662.89,2,Yes,1,1
CUST_10251,21,Two year,Fiber optic,Mailed check,103.07,2150.15,0,Yes,0,0
CUST_10252,30,Month-to-month,DSL,Credit card,47.65,1438.66,1,Yes,0,1
CUST_10253,28,Month-to-month,DSL,Electronic check,38.43,1078.34,0,No,0,1
CUST_10254,64,One year,No,Electronic check,22.84,1453.58,1,Yes,0,0
CUST_10255,69,One year,DSL,Electronic check,45.63,3151.77,0,Yes,1,0
CUST_10256,61,Month-to-month,No,Bank transfer,26.5,1631.16,4,No,0,1
CUST_10257,48,One year,Fiber optic,Electronic check,83.27,3995.48,1,Yes,0,0
CUST_10258,19,One year,Fiber optic,Credit card,81.05,1537.16,5,Yes,0,1
CUST_10259,4,Month-to-month,DSL,Mailed check,46.7,195.64,1,Yes,0,1
CUST_10260,35,Two year,DSL,Mailed check,60.89,2127.09,0,Yes,0,0
CUST_10261,64,Two year,Fiber optic,Electronic check,81.98,5263.86,2,No,0,0
CUST_10262,49,One year,Fiber optic,Mailed check,88.77,4380.13,1,Yes,0,0
CUST_10263,17,Month-to-month,Fiber optic,Bank transfer,107.06,1806.63,2,Yes,0,1
CUST_10264,44,One year,DSL,Bank transfer,60.21,2630.49,3,Yes,0,1
CUST_10265,30,Month-to-month,Fiber optic,Bank transfer,91.25,2743.08,2,Yes,0,0
CUST_10266,46,Month-to-month,Fiber optic,Bank transfer,92.56,4238.48,0,Yes,0,0
CUST_10267,6,Month-to-month,Fiber optic,Credit card,62.48,355.34,1,No,0,1
CUST_10268,37,Month-to-month,Fiber optic,Credit card,89.93,3296.67,2,No,1,1
CUST_10269,24,Two year,Fiber optic,Bank transfer,95.56,2287.71,0,Yes,0,0
CUST_10270,46,One year,Fiber optic,Electronic check,92.06,4234.27,0,Yes,1,0
CUST_10271,53,One year,DSL,Electronic check,49.42,2611.5,4,No,0,1
CUST_10272,60,Month-to-month,Fiber optic,Electronic check,89.0,5360.85,1,Yes,0,0
CUST_10273,63,Month-to-month,DSL,Bank transfer,48.77,3092.25,2,Yes,0,1
CUST_10274,32,Month-to-month,Fiber optic,Mailed check,64.73,,2,Yes,0,1
CUST_10275,33,Two year,Fiber optic,Mailed check,87.32,2882.26,0,Yes,1,1
CUST_10276,67,Month-to-month,DSL,Credit card,56.92,,2,Yes,1,0
CUST_10277,18,Two year,DSL,Credit card,66.99,1210.45,3,No,0,1
CUST_10278,25,One year,DSL,Credit card,62.98,1577.63,2,No,0,1
CUST_10279,54,Month-to-month,Fiber optic,Electronic check,100.03,5394.61,2,Yes,0,1
CUST_10280,58,One year,No,Bank transfer,18.0,1010.05,0,Yes,1,0
CUST_10281,67,Month-to-month,DSL,Electronic check,64.9,4357.86,0,No,0,1
CUST_10282,46,Two year,No,Electronic check,23.16,1082.67,3,Yes,0,0
CUST_10283,24,Two year,Fiber optic,Electronic check,67.05,1586.32,1,No,0,0
CUST_10284,32,Month-to-month,DSL,Electronic check,54.61,1747.37,1,Yes,0,1
CUST_10285,47,Month-to-month,DSL,Mailed check,37.45,1775.02,1,Yes,0,0
CUST_10286,23,One year,Fiber optic,Credit card,69.71,1597.94,2,Yes,0,1
CUST_10287,66,Two year,Fiber optic,Electronic check,89.55,5928.2,3,No,1,0
CUST_10288,27,Month-to-month,Fiber optic,Bank transfer,98.39,2654.43,2,Yes,0,1
CUST_10289,2,One year,DSL,Mailed check,55.09,102.3,1,Yes,0,0
CUST_10290,17,One year,DSL,Electronic check,35.69,625.48,0,Yes,0,1
CUST_10291,33,One year,Fiber optic,Mailed check,115.02,3781.65,0,No,0,1
CUST_10292,9,Month-to-month,DSL,Electronic check,80.51,713.72,1,No,0,1
CUST_10293,43,One year,DSL,Bank transfer,61.5,2631.07,2,No,0,0
CUST_10294,48,Two year,DSL,Mailed check,46.19,2199.98,2,No,0,0
CUST_10295,39,Month-to-month,Fiber optic,Electronic check,86.08,,2,Yes,0,1
CUST_10296,42,Month-to-month,No,Electronic check,18.67,776.45,0,Yes,0,0
CUST_10297,26,Two year,Fiber optic,Mailed check,91.08,2375.41,3,Yes,0,0
CUST_10298,50,Month-to-month,No,Credit card,33.51,1649.48,2,Yes,0,0
CUST_10299,25,Two year,DSL,Electronic check,57.56,1422.16,3,No,0,0
CUST_10300,24,Month-to-month,Fiber optic,Bank transfer,75.88,1821.89,1,No,0,0
CUST_10301,13,Month-to-month,DSL,Bank transfer,45.01,607.18,2,Yes,0,0
CUST_10302,60,Two year,Fiber optic,Credit card,90.32,5424.88,1,No,0,0
CUST_10303,7,Month-to-month,No,Credit card,33.64,226.64,2,No,0,1
CUST_10304,57,Month-to-month,Fiber optic,Bank transfer,91.61,5199.43,1,Yes,0,0
CUST_10305,36,Month-to-month,DSL,Bank transfer,35.05,1252.08,2,Yes,0,0
CUST_10306,45,One year,Fiber optic,Credit card,85.06,3827.06,0,Yes,0,0
CUST_10307,20,Month-to-month,DSL,Mailed check,57.27,1110.03,0,Yes,0,1
CUST_10308,65,Month-to-month,No,Electronic check,18.0,1151.8,2,Yes,0,1
CUST_10309,8,Two year,Fiber optic,Electronic check,74.69,586.46,0,Yes,0,0
CUST_10310,16,Month-to-month,Fiber optic,Credit card,84.64,1350.38,0,Yes,0,0
CUST_10311,14,One year,Fiber optic,Credit card,78.45,1097.48,2,No,0,1
CUST_10312,15,Month-to-month,Fiber optic,Electronic check,92.16,1373.24,1,Yes,0,1
CUST_10313,66,One year,DSL,Bank transfer,48.78,3227.07,6,Yes,0,1
CUST_10314,32,Month-to-month,Fiber optic,Mailed check,85.35,2733.07,1,No,0,1
CUST_10315,63,Two year,DSL,Electronic check,30.45,1912.8,1,Yes,0,0
CUST_10316,51,Month-to-month,Fiber optic,Credit card,83.73,4279.89,0,Yes,1,0
CUST_10317,25,Month-to-month,Fiber optic,Electronic check,105.46,2644.93,1,No,1,1
CUST_10318,58,Month-to-month,Fiber optic,Electronic check,113.69,6572.21,1,Yes,1,0
CUST_10319,63,Month-to-month,Fiber optic,Bank transfer,89.53,5639.91,4,No,1,1
