sqft_living,bedrooms,bathrooms,location_grade,year_built,has_garage,distance_to_center_km,price
1835,3,3.5,Tier3,1986,1,33.1,419100.0
1577,2,3.5,Tier3,1958,1,1.3,405100.0
569,2,2.0,Tier3,1964,0,22.1,149500.0
1613,2,3.5,Tier2,1952,0,7.9,495800.0
1679,3,2.5,Tier1,2019,1,12.9,794700.0
4293,3,2.0,Tier3,1966,1,8.6,906900.0
1492,2,2.5,Tier2,1975,1,7.8,505700.0
1872,3,2.5,Tier3,1970,1,21.6,470600.0
2658,3,2.0,Tier2,2021,1,16.9,738600.0
2270,3,1.5,Tier1,1970,1,7.9,815200.0
2940,2,2.0,Rural,1960,1,1.4,533200.0
786,3,2.0,Tier1,1987,0,1.5,535500.0
993,4,3.5,Rural,2021,1,19.4,297600.0
1241,2,2.0,Rural,1984,1,9.0,356200.0
719,2,1.5,Tier3,1963,0,7.9,288600.0
1685,3,3.5,Tier3,1963,1,13.7,529500.0
1032,4,1.0,Tier2,1959,0,23.5,337300.0
3107,3,1.0,Tier3,1961,1,11.9,710500.0
1109,3,2.5,Tier2,1987,1,17.3,528400.0
1401,3,2.5,Tier2,1983,0,17.4,464100.0
2328,3,1.5,Tier3,1990,1,5.3,571300.0
868,1,3.0,Tier2,1959,1,3.8,362800.0
694,3,1.0,Tier2,1966,1,19.4,269300.0
1776,4,2.5,Tier2,1966,1,5.7,574400.0
1837,3,1.0,Tier2,2016,1,28.0,527600.0
2298,4,1.5,Tier3,2011,0,0.9,597500.0
2060,3,1.5,Tier1,1950,0,0.7,738900.0
1868,2,3.0,Rural,1961,0,31.4,332300.0
1171,4,3.0,Tier3,1953,1,12.5,398900.0
1815,2,3.5,Tier3,1991,1,5.7,503100.0
1865,3,1.5,Tier2,1962,1,16.9,554500.0
1150,2,2.5,Tier3,1953,0,13.4,306300.0
3489,1,1.0,Tier1,2018,1,9.1,1139500.0
2018,3,2.0,Tier3,1968,1,1.2,501500.0
1001,2,3.0,Tier1,1951,1,20.1,495400.0
2303,3,2.0,Tier3,1961,1,24.1,498400.0
2475,3,2.5,Rural,2023,1,2.3,465400.0
1965,1,3.0,Tier2,1955,0,22.8,550600.0
1454,2,2.0,Tier1,1957,0,25.2,551600.0
1127,3,2.5,Tier3,2000,1,9.6,438400.0
1575,3,1.0,Tier2,1960,1,12.8,460800.0
1905,3,2.5,Tier3,2012,0,5.8,503400.0
1643,3,3.5,Tier1,2006,1,4.0,816600.0
2997,4,3.0,Tier1,1961,1,15.4,1047500.0
2153,3,1.5,Rural,2022,1,23.8,432000.0
1067,3,1.0,Tier3,1951,1,12.7,335200.0
950,3,2.0,Tier3,1957,1,8.6,349000.0
2025,2,3.0,Tier2,1960,1,2.1,698200.0
1470,3,1.5,Tier3,2002,1,0.7,479200.0
2234,4,2.5,Tier2,1959,1,7.1,700100.0
2017,3,1.5,Tier3,1957,0,0.6,483900.0
1578,4,3.0,Tier3,1985,0,10.1,457200.0
1073,4,3.0,Tier2,1963,0,5.8,419300.0
734,4,3.5,Tier2,2003,1,17.0,371600.0
1800,4,3.5,Tier2,1970,1,4.4,666300.0
860,3,1.5,Tier3,1999,1,10.8,375800.0
1052,3,2.5,Tier1,1988,0,9.3,543600.0
1752,3,1.5,Tier3,1969,1,0.1,535500.0
1677,3,3.0,Tier1,1956,1,0.9,750400.0
912,3,3.0,Tier3,1958,1,4.1,288300.0
2596,3,2.0,Tier3,1950,1,25.7,587500.0
2566,3,3.5,Tier1,1975,1,1.9,997000.0
2054,3,2.0,Tier1,1987,0,14.9,806800.0
2053,2,1.0,Tier1,1987,0,43.5,574600.0
2054,3,3.0,Tier3,2010,1,18.8,560500.0
6000,2,2.0,Tier3,1993,0,3.3,1124100.0
2466,4,1.5,Tier1,1993,1,28.7,881400.0
2177,3,3.5,Tier3,2023,1,1.2,651700.0
1115,2,3.5,Tier2,2011,1,7.6,527500.0
1460,1,2.5,Tier2,1955,1,26.2,438400.0
4082,3,1.5,Rural,1966,1,12.3,595600.0
589,3,2.5,Tier2,2000,0,6.4,388600.0
1301,3,2.0,Tier2,1987,1,4.2,550100.0
2602,2,1.0,Tier1,1973,1,5.6,873200.0
1149,3,1.5,Tier1,2000,1,8.5,568600.0
2202,3,1.5,Tier2,1959,0,4.6,664600.0
1668,3,1.5,Tier1,2021,1,41.7,630800.0
1188,3,2.5,Tier3,1970,1,32.5,305800.0
530,3,2.0,Tier2,2019,1,24.5,343200.0
1778,2,1.5,Tier2,2006,1,6.6,567600.0
1104,5,1.5,Tier1,1988,1,14.1,603300.0
1548,3,3.5,Tier2,1982,1,28.0,514900.0
2045,3,1.0,Tier3,2008,1,22.8,483100.0
2379,2,3.5,Rural,1967,1,6.4,499300.0
1299,3,3.5,Tier1,2005,0,1.4,608400.0
1187,1,1.0,Tier3,2006,1,0.9,395800.0
853,3,2.0,Tier2,1997,1,10.3,450400.0
2430,5,3.5,Tier2,1991,0,12.3,738800.0
3820,3,2.0,Tier2,1976,1,22.8,984800.0
2544,1,3.5,Tier1,2023,0,4.2,943400.0
2790,1,3.0,Tier1,2001,1,2.2,1017800.0
1154,3,1.0,Tier3,1991,1,5.7,349300.0
1992,2,3.5,Tier2,1981,1,5.2,695900.0
2291,1,3.0,Rural,1975,0,1.7,365300.0
500,4,2.5,Tier2,1974,1,13.4,404700.0
974,3,3.0,Tier1,1972,1,8.5,560100.0
3204,2,1.5,Tier3,2006,0,15.3,693200.0
773,4,3.5,Tier2,2001,1,5.2,490300.0
2983,2,3.0,Tier2,1980,1,4.7,852500.0
770,5,2.0,Tier3,2013,1,7.7,351400.0
997,3,2.5,Rural,2020,1,25.2,321700.0
2008,4,3.5,Tier3,1982,1,0.5,565000.0
1686,3,1.5,Tier3,1951,1,19.6,386900.0
1358,4,3.0,Tier3,1967,1,5.5,476500.0
3149,5,2.5,Rural,1996,1,23.1,565700.0
864,2,3.5,Tier2,1982,0,19.4,421100.0
1521,5,2.5,Tier1,1984,0,5.1,723300.0
2119,3,1.5,Tier2,2000,1,14.2,625000.0
1855,3,3.0,Tier1,1967,0,2.1,784200.0
1206,3,2.5,Tier3,2021,1,27.2,372100.0
1227,3,2.5,Tier3,1979,1,6.2,386400.0
2363,2,1.0,Tier2,1993,0,7.3,682000.0
2412,3,2.5,Tier1,2002,1,14.7,993700.0
1876,3,1.0,Tier3,1959,1,20.6,428200.0
1083,4,3.0,Tier2,2001,0,3.2,465000.0
1245,4,3.5,Tier3,1998,1,13.0,437400.0
1617,3,3.5,Tier2,1960,0,6.0,574700.0
1723,3,3.0,Tier2,2015,1,5.5,651800.0
2082,2,3.0,Tier1,2007,1,14.1,890400.0
1485,2,2.0,Tier1,1985,1,5.9,694600.0
2340,2,3.0,Tier3,1982,1,5.1,550900.0
2328,3,2.5,Rural,1996,0,21.7,403800.0
2832,2,3.5,Tier3,1962,1,1.3,625000.0
1649,5,1.5,Tier1,1989,1,13.5,778200.0
1890,3,3.5,Tier2,2017,1,3.4,625800.0
1536,3,1.0,Tier3,1991,1,0.2,405800.0
1089,3,3.5,Tier3,1968,1,2.2,388800.0
3781,2,2.0,Tier1,1968,0,11.2,1197100.0
2674,3,3.0,Tier1,2007,1,14.8,998000.0
2307,3,3.0,Tier3,1972,1,0.3,588500.0
1624,3,3.5,Tier2,2003,0,0.4,599200.0
1044,3,1.5,Tier2,2014,1,27.9,415700.0
2487,5,1.5,Tier1,1961,1,0.9,919400.0
1524,4,2.0,Tier2,1973,0,27.0,439000.0
1965,3,1.0,Tier3,1983,1,3.1,566700.0
1243,3,3.5,Rural,2002,1,16.2,344400.0
1825,3,3.0,Tier2,1957,1,4.4,641600.0
1279,2,3.5,Tier2,1967,0,23.5,433300.0
1302,3,2.0,Tier1,2006,0,14.5,599800.0
1815,1,2.5,Tier2,1954,0,6.2,548800.0
764,3,2.5,Tier2,1975,1,1.0,443500.0
783,3,2.0,Tier3,1979,1,15.8,334400.0
1148,2,3.0,Tier2,2003,1,11.5,481000.0
1477,5,2.0,Tier1,1962,1,0.0,760700.0
2371,4,3.0,Tier1,1978,1,0.1,893600.0
1515,3,1.5,Tier2,1952,0,19.9,474000.0
1619,3,2.0,Tier1,2007,0,3.6,708900.0
1424,4,3.0,Tier1,1951,1,12.1,688400.0
1889,2,2.0,Rural,1977,1,7.3,356900.0
1084,4,2.0,Tier2,1951,1,23.9,355300.0
1552,2,3.0,Tier2,1956,1,29.9,485300.0
1956,4,3.0,Tier3,1975,0,69.0,330500.0
1808,2,1.0,Rural,1965,0,2.0,325100.0
1642,4,2.0,Tier2,1972,1,23.9,502200.0
1651,4,2.5,Tier3,1989,1,3.7,497100.0
2039,2,2.0,Tier2,2009,1,10.7,673000.0
3862,3,2.0,Tier2,2022,1,8.5,1022900.0
1119,5,3.0,Tier2,1981,1,0.2,551900.0
3911,3,2.0,Tier3,1964,1,32.4,789200.0
1095,4,3.5,Tier3,1962,1,1.0,398300.0
500,3,2.0,Tier2,1954,0,14.0,251200.0
1267,3,3.5,Tier1,2023,1,18.4,730400.0
1905,2,2.5,Tier3,2001,1,19.0,488800.0
3502,2,3.0,Tier1,1990,1,1.7,1248600.0
1043,4,2.0,Tier2,2002,1,7.1,502200.0
2034,3,3.5,Tier3,1999,1,21.2,497500.0
824,3,3.5,Tier3,1964,1,4.3,329600.0
3446,3,3.5,Tier3,1956,1,7.6,780900.0
2697,3,1.5,Tier3,1989,1,3.8,566800.0
1303,4,1.0,Tier2,1977,0,7.5,453900.0
650,5,2.5,Tier3,1981,1,26.3,267700.0
2885,3,2.0,Tier3,1964,0,7.3,670000.0
1548,4,1.5,Tier1,2019,1,9.7,750700.0
2759,4,2.0,Tier1,2014,1,6.2,1107500.0
1637,3,2.0,Tier2,1953,1,7.4,540400.0
1669,5,3.0,Tier2,1960,1,0.2,627300.0
1316,2,3.0,Tier3,1975,0,4.0,387900.0
2150,2,3.0,Tier3,2010,1,6.9,557300.0
1725,4,1.5,Tier1,1986,0,12.1,796800.0
2053,3,2.0,Tier1,1972,0,7.2,809600.0
726,4,1.0,Rural,1989,1,4.9,212300.0
2802,4,2.5,Tier1,1972,1,5.9,1138500.0
3109,2,3.0,Tier2,1965,1,3.3,848600.0
1722,4,3.0,Tier2,2010,0,31.0,568300.0
3739,3,2.0,Tier2,2017,0,8.9,1015600.0
3352,3,2.0,Tier1,1980,1,0.2,1123400.0
2171,3,1.5,Tier1,2002,0,0.2,824900.0
2902,4,1.5,Tier1,1974,1,43.3,969500.0
2571,1,3.0,Tier2,1993,1,3.0,757400.0
631,3,2.0,Tier2,1961,1,19.7,350800.0
1437,3,1.0,Tier1,1958,1,0.7,621600.0
2238,3,2.5,Tier3,1961,0,30.5,478500.0
3200,3,2.0,Tier3,2018,1,24.9,766400.0
796,2,2.0,Tier1,2003,1,10.2,518200.0
654,2,3.5,Tier2,2003,1,0.1,419000.0
1591,3,1.5,Tier3,1977,1,3.6,427900.0
515,4,2.5,Tier2,2005,1,6.3,376300.0
1566,2,3.0,Tier2,2018,1,7.4,636100.0
1926,2,2.0,Tier3,2007,1,4.2,549500.0
1020,5,3.0,Tier3,1991,1,0.4,393100.0
1586,1,2.0,Tier3,1987,1,10.7,428100.0
2467,5,3.0,Tier2,2017,1,8.9,813200.0
1264,3,2.5,Tier3,2002,1,4.0,446800.0
1104,4,1.5,Tier2,1982,1,0.5,464100.0
1553,2,2.5,Tier3,2020,1,62.6,388600.0
968,1,3.5,Tier2,2005,1,7.9,457000.0
3614,3,1.0,Tier1,2021,1,16.9,1213000.0
1660,4,1.5,Tier3,2000,1,7.2,457500.0
1159,3,2.5,Tier2,2023,0,0.5,486600.0
1800,2,3.5,Tier2,1992,0,4.4,702000.0
1549,4,1.0,Rural,1964,1,4.6,402900.0
1471,4,3.5,Tier1,1987,1,21.9,699800.0
1264,3,2.0,Tier2,1964,0,12.7,489200.0
1235,4,2.0,Tier1,1954,1,3.9,665100.0
734,4,3.0,Tier3,2003,1,41.2,268400.0
2900,3,1.5,Tier3,2000,0,4.7,630100.0
2109,2,2.0,Tier2,1959,1,76.1,458500.0
1880,3,3.5,Tier3,1961,1,66.8,393600.0
1538,2,1.5,Tier2,1953,1,2.5,493000.0
1012,3,2.0,Tier3,1967,1,4.5,383900.0
1125,3,3.0,Tier2,1985,1,8.0,440700.0
776,2,2.5,Tier2,1974,1,13.1,373800.0
1191,3,3.0,Rural,1985,1,9.0,275800.0
944,2,1.0,Tier2,2016,1,41.9,282300.0
3269,4,2.0,Tier1,1958,1,15.4,1074700.0
2394,4,1.0,Tier2,2010,1,2.9,759300.0
1692,2,1.0,Rural,2002,1,1.3,340300.0
1064,5,3.5,Tier2,1967,1,14.0,449200.0
967,3,1.5,Tier1,1992,1,2.1,584300.0
1493,2,3.5,Tier2,1984,0,18.6,554300.0
2438,2,2.0,Tier2,2012,1,4.5,766200.0
787,3,1.0,Tier1,1953,1,4.8,516700.0
2097,4,2.5,Tier3,1990,1,0.1,633600.0
1189,3,1.0,Rural,1994,1,14.5,266400.0
1292,2,2.5,Tier2,1999,1,1.4,548200.0
1670,2,3.5,Tier2,1977,1,17.8,557500.0
1082,3,3.5,Tier2,1991,1,8.1,536900.0
1459,2,1.5,Tier1,2018,1,18.4,639400.0
1038,2,1.0,Tier3,1950,0,10.5,253700.0
1234,2,3.0,Tier2,1988,0,1.0,538700.0
2273,4,3.5,Tier2,1966,1,17.4,715600.0
1709,4,3.5,Tier3,1984,1,0.9,511900.0
2269,3,1.5,Tier2,1995,1,7.8,673300.0
1181,4,2.5,Tier3,1991,1,2.3,408200.0
2103,3,1.5,Tier1,1988,1,16.7,763200.0
685,3,1.0,Tier3,1998,1,29.1,236100.0
1669,2,2.0,Rural,2011,0,9.7,362300.0
2165,3,2.0,Tier3,1987,1,9.0,552000.0
671,5,2.5,Rural,1972,1,17.3,229800.0
1188,3,3.5,Tier1,1971,1,0.1,720700.0
1669,3,2.5,Tier2,1953,1,30.0,427700.0
2518,3,3.5,Tier3,1998,1,2.6,669600.0
1234,2,3.5,Tier2,2008,1,49.7,408900.0
2067,4,2.0,Tier2,2022,0,16.0,619100.0
2983,3,2.5,Tier2,2017,1,17.9,860600.0
2109,3,1.5,Tier1,2020,1,12.8,841600.0
1484,3,3.5,Tier2,1951,0,7.7,561400.0
1930,3,3.0,Tier1,1998,1,10.2,865200.0
1217,2,3.0,Tier3,1980,1,0.6,483000.0
1699,3,1.5,Tier1,1989,0,11.7,663200.0
1518,2,3.0,Tier1,1997,1,11.8,752200.0
1902,3,1.0,Tier2,2000,1,26.6,517800.0
1341,4,3.5,Tier2,1992,1,8.5,563400.0
1950,4,1.5,Tier3,2004,0,1.0,509900.0
1335,3,2.5,Tier2,1998,1,4.4,563100.0
2384,3,3.5,Tier2,2006,1,12.8,778100.0
1399,2,1.5,Tier3,1964,1,3.3,367000.0
526,4,2.0,Tier2,1976,1,4.0,391000.0
983,2,2.5,Tier1,2017,1,20.6,531300.0
1647,3,2.0,Tier2,2013,1,10.5,559500.0
3257,2,3.5,Rural,1979,1,8.5,573700.0
2344,2,2.5,Tier2,1985,1,4.6,661600.0
500,3,3.0,Tier2,2016,0,15.8,378300.0
751,2,1.5,Tier1,1998,1,4.1,489900.0
2659,3,3.5,Tier1,2004,1,16.0,1019200.0
2160,3,1.0,Tier2,2005,0,0.9,654300.0
4021,1,2.5,Tier2,2017,1,24.0,1061300.0
1310,3,2.5,Tier1,1993,1,8.3,717400.0
1071,1,3.5,Rural,1980,0,6.9,321300.0
1688,2,3.5,Tier3,2007,1,11.3,494900.0
1298,3,2.0,Tier2,2002,1,11.7,466900.0
2550,2,3.0,Tier3,1972,1,1.7,623500.0
1277,4,2.0,Tier1,1977,1,16.9,624500.0
1437,1,2.0,Tier2,1965,1,3.9,517800.0
999,2,3.0,Tier3,1986,1,28.2,334100.0
2275,3,1.0,Tier3,1970,1,20.4,473900.0
1030,3,2.0,Tier3,1966,1,5.1,340800.0
1966,2,2.0,Tier2,1986,1,19.8,563500.0
3502,3,2.5,Rural,1968,1,5.3,618400.0
623,2,3.0,Tier1,1979,0,1.3,479100.0
3045,4,1.5,Tier3,1994,1,39.2,657300.0
1854,3,1.0,Rural,1967,0,12.7,348300.0
921,4,1.0,Tier1,2011,1,7.3,492600.0
1717,4,3.0,Tier3,1985,1,6.1,455100.0
2245,3,3.5,Tier1,2001,1,4.7,947300.0
1105,4,3.5,Tier2,1968,1,47.8,394800.0
2016,3,2.5,Tier2,1993,1,1.7,723700.0
3158,5,2.5,Tier2,1956,1,4.5,901400.0
1276,2,3.0,Rural,1993,1,8.0,291400.0
993,3,2.5,Tier3,2017,1,7.8,417200.0
1540,3,1.0,Tier2,1983,1,7.6,523700.0
1675,3,1.0,Tier3,2015,1,2.3,471700.0
2608,3,1.5,Rural,2018,1,1.9,449000.0
1516,3,3.5,Tier1,2004,1,3.5,779000.0
1331,1,3.0,Rural,1959,1,29.5,273300.0
981,2,2.0,Tier1,1991,1,1.4,532000.0
674,3,3.5,Tier3,1990,1,17.0,348100.0
839,3,2.0,Tier2,2018,0,17.0,410000.0
836,5,1.5,Tier1,1959,1,19.9,479000.0
1444,4,1.5,Tier2,1959,1,26.1,462300.0
740,5,2.5,Tier3,2009,1,3.7,416600.0
1592,3,1.5,Tier2,2000,0,3.1,559400.0
3468,2,1.5,Tier1,1970,1,7.5,1108700.0
2641,2,2.0,Tier2,1957,0,3.7,703400.0
1438,4,2.5,Rural,2014,1,15.9,376700.0
4453,3,1.5,Tier2,1979,1,12.1,1026100.0
1678,1,3.5,Tier1,1998,0,25.0,625300.0
1787,3,1.5,Tier2,1958,1,1.0,605300.0
1526,5,2.5,Tier1,1966,1,29.6,698200.0
1608,3,3.0,Tier3,2018,0,4.2,525600.0
1255,3,2.5,Tier3,2007,0,8.1,437400.0
1448,3,2.0,Tier2,2006,1,6.9,557000.0
3054,2,3.0,Tier2,2011,1,17.1,818400.0
2768,3,3.5,Tier3,2001,0,6.5,663400.0
513,3,1.0,Tier2,2010,1,34.5,200900.0
783,2,2.5,Tier3,1989,0,27.9,304200.0
1112,4,2.0,Tier3,1987,1,24.7,328700.0
2447,3,3.5,Tier3,1992,1,0.9,628300.0
2795,4,3.0,Tier2,2012,0,23.1,830100.0
2241,4,3.5,Tier2,1968,1,18.3,640900.0
919,2,2.5,Rural,1999,1,1.3,246300.0
1267,3,1.5,Tier2,1982,1,1.4,507900.0
2031,3,2.5,Tier3,1962,1,1.3,555500.0
1458,4,1.0,Tier1,2011,1,0.1,722700.0
1366,2,2.5,Tier3,1992,0,9.5,395300.0
1375,3,3.0,Tier2,1998,1,43.5,498900.0
2676,3,3.0,Tier1,1985,1,6.9,1042100.0
2124,2,2.5,Tier1,1959,0,9.3,789300.0
1410,2,3.0,Tier3,1955,1,41.3,365100.0
1892,3,1.5,Tier3,2006,1,3.5,511100.0
858,3,3.5,Tier2,1950,1,23.5,453000.0
1269,3,2.5,Tier1,2020,0,9.5,564200.0
2561,3,1.5,Tier3,2007,1,10.1,666900.0
716,3,3.5,Tier1,1970,1,5.0,562700.0
2135,3,3.5,Tier2,2005,1,9.9,724300.0
510,2,1.5,Tier1,1969,1,0.9,412700.0
3281,4,2.0,Tier1,2003,1,17.4,1140400.0
1254,2,2.5,Tier1,1974,1,4.0,661500.0
1954,3,3.5,Tier2,1977,1,26.2,608900.0
1721,2,3.5,Tier1,1954,0,5.5,683200.0
1749,2,3.0,Tier2,1970,1,1.8,633600.0
1877,3,3.5,Tier2,1967,1,14.3,674400.0
651,2,1.5,Tier2,1996,1,2.2,302700.0
1765,4,3.5,Tier2,2019,1,16.8,734700.0
1498,1,2.0,Tier3,2006,1,41.3,319400.0
1258,3,2.5,Tier1,1968,1,18.1,555200.0
1112,3,2.5,Tier2,2014,1,0.3,479600.0
1785,1,3.5,Tier1,1952,1,11.0,717400.0
999,2,1.0,Tier1,1991,1,14.3,450600.0
2541,3,1.0,Tier2,1970,1,20.9,633900.0
2017,3,1.5,Tier2,1989,1,0.7,631000.0
1834,3,1.0,Tier3,2016,1,7.8,504700.0
2494,3,1.5,Tier2,1974,1,9.2,721200.0
599,3,3.0,Rural,2004,1,2.2,310500.0
844,1,1.5,Tier1,2001,1,4.7,538200.0
2056,3,1.0,Tier1,1993,0,7.0,811400.0
1143,5,3.5,Tier1,2005,1,21.5,653000.0
1213,3,3.0,Tier1,2004,1,31.8,520800.0
783,3,1.0,Tier2,2019,1,11.9,329000.0
1001,3,1.5,Tier3,2022,1,6.0,418800.0
2566,4,2.0,Tier1,2015,1,3.5,1057300.0
2035,4,2.5,Rural,1968,0,48.3,310900.0
1777,3,1.0,Tier3,1956,1,48.9,304500.0
1235,5,1.5,Tier2,2012,0,31.1,405700.0
1727,2,3.0,Tier1,1991,0,18.5,696900.0
2665,1,1.0,Tier1,1991,1,4.7,934000.0
1157,4,1.0,Tier1,2008,1,20.4,611400.0
1607,4,2.5,Tier1,1969,1,6.3,724400.0
3371,2,1.5,Tier2,2022,1,4.7,916200.0
2229,2,2.0,Tier1,1966,0,16.4,805200.0
1243,1,3.0,Tier2,1976,1,1.0,418500.0
2150,2,1.5,Rural,1996,0,0.6,420800.0
710,4,3.0,Tier3,1951,1,7.1,314000.0
1577,3,1.0,Rural,2012,0,7.1,362800.0
2148,3,2.5,Tier1,2011,0,27.1,812700.0
1937,3,2.5,Tier2,1968,1,1.6,618100.0
2139,1,3.5,Tier2,1966,1,1.6,654100.0
2348,2,2.0,Tier1,2018,1,1.9,859200.0
2005,3,2.5,Tier1,1988,0,0.4,852700.0
1980,5,1.0,Tier3,2020,0,0.9,554800.0
1795,4,2.0,Tier3,1988,0,12.9,521700.0
944,1,1.5,Tier2,1985,1,6.8,375300.0
2566,4,2.5,Tier2,1989,1,17.3,790800.0
1603,4,2.0,Tier2,1994,0,58.9,381100.0
2204,4,1.0,Tier1,1953,1,12.9,708800.0
2450,3,3.5,Tier2,1974,0,0.6,745500.0
1273,3,3.0,Tier1,2018,1,1.3,703000.0
1326,3,3.0,Tier1,1979,1,25.5,571000.0
1410,2,1.0,Rural,2017,1,9.0,354800.0
2778,2,1.0,Tier2,1978,1,20.9,754200.0
1046,2,3.0,Tier3,2022,1,23.3,371500.0
2989,3,3.5,Tier2,2017,1,31.5,829500.0
1786,3,2.0,Tier2,2000,1,35.9,536500.0
1843,3,3.0,Tier1,1973,1,9.7,763800.0
2402,2,1.0,Tier1,1963,1,5.0,869900.0
1696,5,2.5,Tier1,2018,1,39.2,669500.0
2578,4,1.5,Tier3,1967,0,9.5,544600.0
1272,4,3.5,Tier3,1991,1,0.8,441900.0
2947,5,3.5,Tier2,2006,0,12.4,894800.0
1319,3,2.5,Tier2,1961,1,10.6,478600.0
2997,5,2.5,Rural,1966,1,27.1,565300.0
1335,2,1.0,Tier1,1979,1,12.7,600400.0
1429,3,3.0,Tier2,1972,1,5.2,519600.0
985,2,2.0,Tier2,1950,1,40.7,324200.0
1118,2,3.5,Tier3,1981,1,19.4,354300.0
1607,2,3.5,Rural,1958,1,11.9,365100.0
1816,3,2.5,Tier1,1964,1,4.2,803400.0
2496,4,3.0,Tier3,1977,1,5.6,676100.0
1476,3,3.5,Tier3,1973,1,13.3,455100.0
923,2,2.0,Tier1,2009,1,0.9,630100.0
1939,4,2.5,Tier2,1984,1,3.6,683400.0
1762,3,2.0,Tier2,1976,1,15.0,570600.0
2034,3,3.0,Rural,1969,1,7.8,407900.0
1197,3,3.5,Tier1,2014,1,6.2,675300.0
1263,2,1.5,Tier3,1998,0,2.0,396100.0
1197,3,3.5,Tier2,1950,0,7.0,465500.0
2707,4,3.0,Tier3,1959,1,17.7,640200.0
2959,2,3.5,Tier2,1996,1,3.7,888200.0
1238,3,3.5,Tier2,2008,1,0.1,576600.0
1250,4,1.0,Tier3,2011,1,13.2,473500.0
2160,3,3.5,Tier3,1967,1,43.2,468800.0
3105,2,3.5,Tier3,1995,1,11.2,734100.0
3402,2,2.0,Tier1,1981,1,1.5,1157400.0
1212,1,1.5,Tier3,1976,1,4.6,274300.0
1357,3,2.0,Tier1,1967,1,24.3,568800.0
1859,3,2.0,Tier2,1988,1,3.2,595300.0
